groupname,level,glottocode,domain,basic,combo_name,sign,scholarly,langname,convergence,convergence_set,zeta,words
East and southeast asian,group,sgaw1245,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,shan1277,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,stan1306,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,sund1252,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,taga1270,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,taus1251,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,thai1261,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,tibe1272,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,tuvi1240,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,uigh1240,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,urak1238,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,viet1252,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,wara1300,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,wers1238,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,west2555,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,wuch1236,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,yuec1235,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
East and southeast asian,group,bali1278,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,nucl1310,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,cebu1242,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,cent1989,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,mala1479,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,cent2087,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,hakk1236,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,halh1238,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,hili1240,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,ilok1237,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,nucl1643,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,java1254,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,jeha1242,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,kirg1245,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,kore1280,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,laoo1244,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,lari1255,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,mala1533,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,mand1415,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,mind1253,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,minn1241,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,pamp1243,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,pang1290,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,rade1240,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,sgaw1245,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,shan1277,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,stan1306,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,sund1252,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,taga1270,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,taus1251,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,thai1261,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,tibe1272,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,tuvi1240,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,uigh1240,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,urak1238,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,viet1252,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,wara1300,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,wers1238,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,west2555,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,wuch1236,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,yuec1235,noun,0,fishcombo,positive,1,NA,NA,NA,NA,fish
East and southeast asian,group,bali1278,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,nucl1310,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,cebu1242,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,cent1989,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,mala1479,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,cent2087,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,hakk1236,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,halh1238,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,hili1240,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,ilok1237,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,nucl1643,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,java1254,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,jeha1242,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,kirg1245,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,kore1280,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,laoo1244,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,lari1255,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,mala1533,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,mand1415,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,mind1253,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,minn1241,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,pamp1243,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,pang1290,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,rade1240,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,sgaw1245,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,shan1277,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,stan1306,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,sund1252,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,taga1270,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,taus1251,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,thai1261,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,tibe1272,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,tuvi1240,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,uigh1240,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,urak1238,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,viet1252,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,wara1300,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,wers1238,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,west2555,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,wuch1236,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,yuec1235,noun,0,insectscombo,positive,1,NA,NA,NA,NA,insect
East and southeast asian,group,bali1278,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,nucl1310,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,cebu1242,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,cent1989,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,mala1479,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,cent2087,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,hakk1236,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,halh1238,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,hili1240,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,ilok1237,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,java1254,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,jeha1242,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,kirg1245,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,kore1280,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,laoo1244,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,lari1255,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,mala1533,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,mand1415,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,mind1253,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,minn1241,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,pamp1243,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,pang1290,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,rade1240,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,sgaw1245,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,shan1277,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,stan1306,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,sund1252,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,taga1270,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,taus1251,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,thai1261,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,tibe1272,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,tuvi1240,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,uigh1240,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,urak1238,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,viet1252,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,wara1300,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,wers1238,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,west2555,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,wuch1236,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,yuec1235,noun,0,weathercombo,positive,1,NA,NA,NA,NA,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow"
East and southeast asian,group,bali1278,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,nucl1310,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,cebu1242,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,cent1989,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,mala1479,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,cent2087,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,hakk1236,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,halh1238,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,hili1240,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,ilok1237,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,nucl1643,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,java1254,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,jeha1242,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,kirg1245,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,kore1280,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,laoo1244,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,lari1255,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,mala1533,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,mand1415,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,mind1253,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,minn1241,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,pamp1243,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,pang1290,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,rade1240,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,sgaw1245,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,shan1277,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,stan1306,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,sund1252,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,taga1270,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,taus1251,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,thai1261,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,tibe1272,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,tuvi1240,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,uigh1240,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,urak1238,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,viet1252,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,wara1300,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,wers1238,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,west2555,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,wuch1236,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
East and southeast asian,group,yuec1235,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Southeast asian,group,bali1278,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,nucl1310,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,cent1989,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,mala1479,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,cent2087,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,hili1240,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,ilok1237,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,java1254,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,jeha1242,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,laoo1244,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,lari1255,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,mala1533,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,mind1253,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,pamp1243,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,pang1290,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,rade1240,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,sgaw1245,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,shan1277,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,stan1306,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,sund1252,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,taga1270,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,taus1251,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,thai1261,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,urak1238,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,viet1252,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,wara1300,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,wers1238,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Southeast asian,group,west2555,"noun, adjective, verb",0,emotioncombo,positive,1,NA,NA,NA,NA,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness"
Papua New Guinea,group,awap1236,noun,0,birdcombo,positive,1,NA,NA,NA,NA,bird
Papua New Guinea,group,enga1252,noun,0,birdcombo,positive,1,NA,NA,NA,NA,bird
Papua New Guinea,group,fore1270,noun,0,birdcombo,positive,1,NA,NA,NA,NA,bird
